country,lngdppc,lnpop,gattwto08,numbil0
Kyrgyz Republic,6.8735714,15.486739,10,0
Uzbekistan,6.9306116,17.1225,0,0
Kazakhstan,9.046102,16.567514,0,6
China,8.143926,21.004417,7,42
"Macao SAR, China",10.61759,13.137307,13,0
Mongolia,7.6665983,14.783571,7,0
"Korea, Rep.",9.924738,17.706284,41,12
Japan,10.544774,18.665226,53,24
India,6.9456253,20.884247,60,53
Bhutan,7.505482,13.447571,0,0
Pakistan,6.9255114,18.933554,8,0
Bangladesh,6.428519,18.81252,36,0
Sri Lanka,7.607799,16.822035,45,0
Maldives,8.816983,12.656648,51,0
Nepal,6.169469,17.083155,16,0
Thailand,8.324768,18.007969,47,3
Cambodia,6.610127,16.45031,45,0
Lao PDR,6.7875714,15.630193,0,0
Vietnam,7.0601015,18.2596,1,0
Malaysia,9.0432005,17.122484,44,8
Singapore,10.58846,15.392302,47,5
Brunei Darussalam,10.521234,12.868804,15,0
Philippines,7.562884,18.319437,57,2
Indonesia,7.685805,19.271872,58,5
Timor-Leste,6.510797,13.847185,0,0
Australia,10.81746,16.87183,60,14
Papua New Guinea,7.1076117,15.695109,11,0
New Zealand,10.339201,15.266867,60,4
Vanuatu,7.899995,12.325623,0,0
Solomon Islands,7.096746,13.12942,14,0
Kiribati,7.2612705,11.459862,0,0
Tuvalu,8.037441,9.188912,0,0
Fiji,8.336895,13.645731,15,0
Tonga,8.102586,11.541969,1,0
Marshall Islands,7.9808435,10.8637,0,0
Palau,9.1938925,9.914824,0,0
"Micronesia, Fed. Sts.",7.824408,11.556923,0,0
Samoa,8.1243725,12.119665,15,0
"Hong Kong SAR, China",10.356964,15.755374,22,26
Puerto Rico,10.122557,15.14016,60,0
West Bank and Gaza,7.5258865,15.095524,0,0
